"","technology","no.coders","application","audience","engagement_feedback","engagement_others","extend_data","improve_curation","improve_flow","improve_quality","new_data","sum.scores"
"22","Low earth orbit ultrafast broadband",9,4.33333333333333,4.11111111111111,3.11111111111111,3.33333333333333,4.88888888888889,2.88888888888889,4.66666666666667,3.77777777777778,3.88888888888889,35
"23","Machine learning",10,4.4,3.8,4.4,2.9,4.4,3.7,3.9,3.9,4.5,35.9
"24","Mobile-based data collection platforms",11,4.63636363636364,4.63636363636364,4.09090909090909,3.81818181818182,4.54545454545455,4.27272727272727,4.54545454545455,4.18181818181818,3.90909090909091,38.6363636363636
"25","Neural marketing",9,3.11111111111111,3.22222222222222,3.11111111111111,2.77777777777778,2.88888888888889,1.55555555555556,2.44444444444444,2.22222222222222,3.33333333333333,24.6666666666667
"26","Open data and open source",8,3.375,3.75,3.5,3.875,3.375,4.625,4.375,4.125,2.625,33.625
"27","Open source hardware",19,3.52631578947368,3.89473684210526,3.21052631578947,3.57894736842105,4.05263157894737,2.8421052631579,3.1578947368421,3.73684210526316,3.89473684210526,31.8947368421053
"28","Push Notifications",19,5.21052631578947,3.73684210526316,5.47368421052632,3.8421052631579,4.42105263157895,2.31578947368421,3.73684210526316,4.1578947368421,3,35.8947368421053
"29","Robots",16,2.625,3.5,2.5,2.5625,4.0625,3.1875,3.25,3.375,4.3125,29.375
"30","Social media",10,4.7,4.9,4.7,5,4.2,3.2,4.2,3.2,4.1,38.2
"31","Social media mining",16,4,2.875,2.75,2.5625,4.4375,2.5,4.4375,3.5,4.75,31.8125
"32","Technologies to increase data quality and reduce uncertainty",9,3.66666666666667,2.22222222222222,4,2.22222222222222,3.44444444444444,4.77777777777778,4.66666666666667,5,3.55555555555556,33.5555555555556
"33","Tools for sensory impaired citizen scientists",11,4.18181818181818,4.81818181818182,3.72727272727273,4.36363636363636,3.45454545454545,2.18181818181818,2.63636363636364,2.27272727272727,3,30.6363636363636
"34","Virtual reality",7,4,4.28571428571429,4.57142857142857,4.57142857142857,3.14285714285714,2.57142857142857,2.71428571428571,3.28571428571429,3.28571428571429,32.4285714285714
"35","Visual storytelling",10,3.3,4.6,3.8,4.1,3.1,2.1,2.9,2.6,2.5,29
"36","Wildlife cameras",13,3.07692307692308,3.92307692307692,3.76923076923077,3.15384615384615,4.76923076923077,3,4,3.92307692307692,4.76923076923077,34.3846153846154
"37","eNose technology",18,2.88888888888889,3.11111111111111,2.55555555555556,2.27777777777778,4.27777777777778,2.33333333333333,2.88888888888889,3.83333333333333,4.88888888888889,29.0555555555556
